Date,Close
9/17/2014,457.334015
9/18/2014,424.440002
9/19/2014,394.79599
9/20/2014,408.903992
9/21/2014,398.821014
9/22/2014,402.152008
9/23/2014,435.790985
9/24/2014,423.204987
9/25/2014,411.574005
9/26/2014,404.424988
9/27/2014,399.519989
9/28/2014,377.181
9/29/2014,375.46701
9/30/2014,386.944
10/1/2014,383.61499
10/2/2014,375.071991
10/3/2014,359.511993
10/4/2014,328.865997
10/5/2014,320.51001
10/6/2014,330.07901
10/7/2014,336.187012
10/8/2014,352.940002
10/9/2014,365.026001
10/10/2014,361.562012
10/11/2014,362.299011
10/12/2014,378.549011
10/13/2014,390.414001
10/14/2014,400.869995
10/15/2014,394.77301
10/16/2014,382.556
10/17/2014,383.757996
10/18/2014,391.441986
10/19/2014,389.54599
10/20/2014,382.845001
10/21/2014,386.475006
10/22/2014,383.15799
10/23/2014,358.416992
10/24/2014,358.345001
10/25/2014,347.270996
10/26/2014,354.70401
10/27/2014,352.989014
10/28/2014,357.618011
10/29/2014,335.591003
10/30/2014,345.304993
10/31/2014,338.321014
11/1/2014,325.748993
11/2/2014,325.891998
11/3/2014,327.553986
11/4/2014,330.492004
11/5/2014,339.485992
11/6/2014,349.290009
11/7/2014,342.415009
11/8/2014,345.488007
11/9/2014,363.264008
11/10/2014,366.924011
11/11/2014,367.695007
11/12/2014,423.561005
11/13/2014,420.734985
11/14/2014,397.817993
11/15/2014,376.132996
11/16/2014,387.881989
11/17/2014,387.40799
11/18/2014,375.197998
11/19/2014,380.554993
11/20/2014,357.839996
11/21/2014,350.847992
11/22/2014,352.920013
11/23/2014,367.572998
11/24/2014,376.901001
11/25/2014,375.347992
11/26/2014,368.369995
11/27/2014,369.670013
11/28/2014,376.446991
11/29/2014,375.490997
11/30/2014,378.046997
12/1/2014,379.244995
12/2/2014,381.315002
12/3/2014,375.01001
12/4/2014,369.604004
12/5/2014,376.854004
12/6/2014,374.785004
12/7/2014,375.095001
12/8/2014,361.908997
12/9/2014,352.218994
12/10/2014,346.36499
12/11/2014,350.506012
12/12/2014,352.541992
12/13/2014,347.376007
12/14/2014,351.631989
12/15/2014,345.345001
12/16/2014,327.062012
12/17/2014,319.776001
12/18/2014,311.395996
12/19/2014,317.842987
12/20/2014,329.955994
12/21/2014,320.842987
12/22/2014,331.885986
12/23/2014,334.571991
12/24/2014,322.533997
12/25/2014,319.007996
12/26/2014,327.924011
12/27/2014,315.863007
12/28/2014,317.239014
12/29/2014,312.670013
12/30/2014,310.737
12/31/2014,320.192993
1/1/2015,314.248993
1/2/2015,315.032013
1/3/2015,281.082001
1/4/2015,264.195007
1/5/2015,274.473999
1/6/2015,286.188995
1/7/2015,294.337006
1/8/2015,283.348999
1/9/2015,290.40799
1/10/2015,274.79599
1/11/2015,265.660004
1/12/2015,267.79599
1/13/2015,225.860992
1/14/2015,178.102997
1/15/2015,209.843994
1/16/2015,208.097
1/17/2015,199.259995
1/18/2015,210.339005
1/19/2015,214.860992
1/20/2015,211.315002
1/21/2015,226.897003
1/22/2015,233.406006
1/23/2015,232.878998
1/24/2015,247.847
1/25/2015,253.718002
1/26/2015,273.472992
1/27/2015,263.475006
1/28/2015,233.914993
1/29/2015,233.513
1/30/2015,226.425003
1/31/2015,217.464005
2/1/2015,226.972
2/2/2015,238.229004
2/3/2015,227.268005
2/4/2015,226.852997
2/5/2015,217.110992
2/6/2015,222.266006
2/7/2015,227.753998
2/8/2015,223.412003
2/9/2015,220.110001
2/10/2015,219.839005
2/11/2015,219.184998
2/12/2015,221.764008
2/13/2015,235.427002
2/14/2015,257.321014
2/15/2015,234.824997
2/16/2015,233.843002
2/17/2015,243.610001
2/18/2015,236.326004
2/19/2015,240.283005
2/20/2015,243.779007
2/21/2015,244.533997
2/22/2015,235.977005
2/23/2015,238.891998
2/24/2015,238.735001
2/25/2015,237.470001
2/26/2015,236.425995
2/27/2015,253.828003
2/28/2015,254.263
3/1/2015,260.201996
3/2/2015,275.670013
3/3/2015,281.701996
3/4/2015,273.09201
3/5/2015,276.178009
3/6/2015,272.722992
3/7/2015,276.260986
3/8/2015,274.354004
3/9/2015,289.606995
3/10/2015,291.76001
3/11/2015,296.378998
3/12/2015,294.354004
3/13/2015,285.337006
3/14/2015,281.88501
3/15/2015,286.393005
3/16/2015,290.592987
3/17/2015,285.505005
3/18/2015,256.299011
3/19/2015,260.928009
3/20/2015,261.748993
3/21/2015,260.024994
3/22/2015,267.959991
3/23/2015,266.73999
3/24/2015,245.595001
3/25/2015,246.197006
3/26/2015,248.531998
3/27/2015,247.029007
3/28/2015,252.798004
3/29/2015,242.712997
3/30/2015,247.526001
3/31/2015,244.223999
4/1/2015,247.272003
4/2/2015,253.005005
4/3/2015,254.322006
4/4/2015,253.697006
4/5/2015,260.597992
4/6/2015,255.492004
4/7/2015,253.179993
4/8/2015,245.022003
4/9/2015,243.675995
4/10/2015,236.072006
4/11/2015,236.552002
4/12/2015,236.153
4/13/2015,224.587006
4/14/2015,219.158997
4/15/2015,223.832993
4/16/2015,228.572998
4/17/2015,222.882004
4/18/2015,223.356003
4/19/2015,222.600006
4/20/2015,224.626007
4/21/2015,235.268997
4/22/2015,234.175995
4/23/2015,236.462006
4/24/2015,231.268005
4/25/2015,226.389999
4/26/2015,219.429993
4/27/2015,229.285995
4/28/2015,225.854996
4/29/2015,225.807999
4/30/2015,236.145004
5/1/2015,232.078995
5/2/2015,234.929993
5/3/2015,240.358002
5/4/2015,239.018005
5/5/2015,236.121002
5/6/2015,229.781998
5/7/2015,237.334
5/8/2015,243.863007
5/9/2015,241.832001
5/10/2015,240.296005
5/11/2015,242.158005
5/12/2015,241.112
5/13/2015,236.376999
5/14/2015,236.929001
5/15/2015,237.604996
5/16/2015,236.153
5/17/2015,236.802002
5/18/2015,233.128006
5/19/2015,231.947006
5/20/2015,234.018005
5/21/2015,235.343994
5/22/2015,240.348007
5/23/2015,238.871994
5/24/2015,240.953003
5/25/2015,237.110001
5/26/2015,237.115997
5/27/2015,237.283005
5/28/2015,237.408005
5/29/2015,237.095993
5/30/2015,233.345001
5/31/2015,230.190002
6/1/2015,222.925995
